City,Channel Name,Interest,Category,Channel ID,Deep Link
"San Antonio, TX","Pickleball / San Antonio, TX",Pickleball,Sports,aa35a460-a407-4b6f-b4ab-c9152c2399ca,https://places-links.vercel.app/chat/aa35a460-a407-4b6f-b4ab-c9152c2399ca/info
"San Antonio, TX","Paddle Tennis / San Antonio, TX",Paddle Tennis,Sports,1ac3d205-d30b-4bd7-b9f2-d55d7085dada,https://places-links.vercel.app/chat/1ac3d205-d30b-4bd7-b9f2-d55d7085dada/info
"San Antonio, TX","Martial Arts / San Antonio, TX",Martial Arts,Sports,a70b6536-5fd4-49ea-a45d-567564d67d9e,https://places-links.vercel.app/chat/a70b6536-5fd4-49ea-a45d-567564d67d9e/info
"San Antonio, TX","Marathon / San Antonio, TX",Marathon,Sports,c01b39a7-8f7f-46af-81e2-93096819907b,https://places-links.vercel.app/chat/c01b39a7-8f7f-46af-81e2-93096819907b/info
"San Antonio, TX","Lacrosse / San Antonio, TX",Lacrosse,Sports,59159997-31a2-47ad-9f16-98e903345a9d,https://places-links.vercel.app/chat/59159997-31a2-47ad-9f16-98e903345a9d/info
"San Antonio, TX","Kite Surfing / San Antonio, TX",Kite Surfing,Sports,ed23463c-2987-4d56-b4e1-64d53f31e7c1,https://places-links.vercel.app/chat/ed23463c-2987-4d56-b4e1-64d53f31e7c1/info
"San Antonio, TX","Ice Hockey / San Antonio, TX",Ice Hockey,Sports,4c29f8d3-586f-4dc6-839f-249782ac91b6,https://places-links.vercel.app/chat/4c29f8d3-586f-4dc6-839f-249782ac91b6/info
"San Antonio, TX","Gymnastics / San Antonio, TX",Gymnastics,Sports,5bc5b4d5-96af-464a-a4d9-03b2d9a620e7,https://places-links.vercel.app/chat/5bc5b4d5-96af-464a-a4d9-03b2d9a620e7/info
"San Antonio, TX","Golf / San Antonio, TX",Golf,Sports,74397307-bd56-4e13-a1ba-34ef39361c03,https://places-links.vercel.app/chat/74397307-bd56-4e13-a1ba-34ef39361c03/info
"San Antonio, TX","Cycling / San Antonio, TX",Cycling,Sports,251e305a-f7dd-4bb0-a722-e2a0de1c0e52,https://places-links.vercel.app/chat/251e305a-f7dd-4bb0-a722-e2a0de1c0e52/info
"San Antonio, TX","Climbing / San Antonio, TX",Climbing,Sports,5cc538f9-006c-4cec-b403-7445a7bd9493,https://places-links.vercel.app/chat/5cc538f9-006c-4cec-b403-7445a7bd9493/info
"San Antonio, TX","Canoeing/Kayaking / San Antonio, TX",Canoeing/Kayaking,Sports,e3521b86-e943-41e2-9a52-7034b8010da5,https://places-links.vercel.app/chat/e3521b86-e943-41e2-9a52-7034b8010da5/info
"San Antonio, TX","Boxing / San Antonio, TX",Boxing,Sports,73a41220-9b05-4f60-83c3-7f36d95849d7,https://places-links.vercel.app/chat/73a41220-9b05-4f60-83c3-7f36d95849d7/info
"San Antonio, TX","Basketball / San Antonio, TX",Basketball,Sports,773d9a13-087f-4eca-ac3d-8b8bbfecf85f,https://places-links.vercel.app/chat/773d9a13-087f-4eca-ac3d-8b8bbfecf85f/info
"San Antonio, TX","Baseball / San Antonio, TX",Baseball,Sports,a4d95d81-adb9-472e-bfe2-8fa81a0fd2df,https://places-links.vercel.app/chat/a4d95d81-adb9-472e-bfe2-8fa81a0fd2df/info
"San Antonio, TX","Archery / San Antonio, TX",Archery,Sports,05350420-f773-48fb-8f58-5c1a3f5db18a,https://places-links.vercel.app/chat/05350420-f773-48fb-8f58-5c1a3f5db18a/info
"San Antonio, TX","American Football / San Antonio, TX",American Football,Sports,5e8315c0-628b-4bc7-a8e7-9eb08bb79bcc,https://places-links.vercel.app/chat/5e8315c0-628b-4bc7-a8e7-9eb08bb79bcc/info
"San Antonio, TX","Yoga / San Antonio, TX",Yoga,Hobbies,e1adf667-4bfe-44f9-931e-cde2fc2d7f4f,https://places-links.vercel.app/chat/e1adf667-4bfe-44f9-931e-cde2fc2d7f4f/info
"San Antonio, TX","3D Printing / San Antonio, TX",3D Printing,Hobbies,3df704dc-32f8-4418-a2a6-714ed8097c06,https://places-links.vercel.app/chat/3df704dc-32f8-4418-a2a6-714ed8097c06/info
"San Antonio, TX","Walking / San Antonio, TX",Walking,Hobbies,363ee772-b728-42e5-bdaf-086c4c988ff6,https://places-links.vercel.app/chat/363ee772-b728-42e5-bdaf-086c4c988ff6/info
"San Antonio, TX","Singing / San Antonio, TX",Singing,Hobbies,a21bf026-d7d9-44a0-8939-175b82bfbbf0,https://places-links.vercel.app/chat/a21bf026-d7d9-44a0-8939-175b82bfbbf0/info
"San Antonio, TX","Rock Hounding / San Antonio, TX",Rock Hounding,Hobbies,22c24edc-2434-49f0-9a17-ef2d6a2f27a1,https://places-links.vercel.app/chat/22c24edc-2434-49f0-9a17-ef2d6a2f27a1/info
"San Antonio, TX","Reading / San Antonio, TX",Reading,Hobbies,e6b011ea-d05f-4e04-be51-7c7e57d56093,https://places-links.vercel.app/chat/e6b011ea-d05f-4e04-be51-7c7e57d56093/info
"San Antonio, TX","Photography / San Antonio, TX",Photography,Hobbies,c5c27359-8e93-490c-8c01-b78db7e0ffea,https://places-links.vercel.app/chat/c5c27359-8e93-490c-8c01-b78db7e0ffea/info
"San Antonio, TX","Origami / San Antonio, TX",Origami,Hobbies,f56fb784-e600-4158-ba4d-4f990b48efd9,https://places-links.vercel.app/chat/f56fb784-e600-4158-ba4d-4f990b48efd9/info
"San Antonio, TX","Musical Instruments / San Antonio, TX",Musical Instruments,Hobbies,fcfcd55b-c81f-4a7c-806e-c14693af616a,https://places-links.vercel.app/chat/fcfcd55b-c81f-4a7c-806e-c14693af616a/info
"San Antonio, TX","Meditation / San Antonio, TX",Meditation,Hobbies,426bbb4d-1c28-4981-ab21-cbd782fed96c,https://places-links.vercel.app/chat/426bbb4d-1c28-4981-ab21-cbd782fed96c/info
"San Antonio, TX","Home Brewing / San Antonio, TX",Home Brewing,Hobbies,e4ae2f8a-0810-4e62-aa96-23358967684a,https://places-links.vercel.app/chat/e4ae2f8a-0810-4e62-aa96-23358967684a/info
"San Antonio, TX","Hiking / San Antonio, TX",Hiking,Hobbies,596ebf19-241a-4aba-87b3-2ed7e3fd1ef0,https://places-links.vercel.app/chat/596ebf19-241a-4aba-87b3-2ed7e3fd1ef0/info
"San Antonio, TX","Gaming / San Antonio, TX",Gaming,Hobbies,9bf7bc76-a941-421e-be8c-b4a4b2c8e3d9,https://places-links.vercel.app/chat/9bf7bc76-a941-421e-be8c-b4a4b2c8e3d9/info
"San Antonio, TX","Gardening / San Antonio, TX",Gardening,Hobbies,d306e661-b257-42f5-a9de-7e8fdc6d79b2,https://places-links.vercel.app/chat/d306e661-b257-42f5-a9de-7e8fdc6d79b2/info
"San Antonio, TX","Fishing / San Antonio, TX",Fishing,Hobbies,f78283bb-d807-4983-bbc5-f22e1f29ef08,https://places-links.vercel.app/chat/f78283bb-d807-4983-bbc5-f22e1f29ef08/info
"San Antonio, TX","Arts and Crafts / San Antonio, TX",Arts and Crafts,Hobbies,6d351cec-380c-4162-9ff0-37f4cbc30c3c,https://places-links.vercel.app/chat/6d351cec-380c-4162-9ff0-37f4cbc30c3c/info
"San Antonio, TX","DIY / San Antonio, TX",DIY,Hobbies,8d064734-8e9d-44cb-93a2-2777c3d5b46b,https://places-links.vercel.app/chat/8d064734-8e9d-44cb-93a2-2777c3d5b46b/info
"San Antonio, TX","Dancing / San Antonio, TX",Dancing,Hobbies,b72ac38c-95e7-4cc4-985b-8e14eea83fd1,https://places-links.vercel.app/chat/b72ac38c-95e7-4cc4-985b-8e14eea83fd1/info
"San Antonio, TX","Crocheting/Knitting / San Antonio, TX",Crocheting/Knitting,Hobbies,cac6061f-8a35-452c-81f2-c7a51f6a1400,https://places-links.vercel.app/chat/cac6061f-8a35-452c-81f2-c7a51f6a1400/info
"San Antonio, TX","Baking / San Antonio, TX",Baking,Hobbies,8786e5b9-d003-4d80-a5e3-db34565d4c28,https://places-links.vercel.app/chat/8786e5b9-d003-4d80-a5e3-db34565d4c28/info
"San Antonio, TX","Cooking / San Antonio, TX",Cooking,Hobbies,76daad2c-fc25-432e-bef5-bdc2882e2b37,https://places-links.vercel.app/chat/76daad2c-fc25-432e-bef5-bdc2882e2b37/info
"San Antonio, TX","Chess / San Antonio, TX",Chess,Hobbies,6faf4126-82e0-4c4b-b971-303029afe60d,https://places-links.vercel.app/chat/6faf4126-82e0-4c4b-b971-303029afe60d/info
"San Antonio, TX","Camping / San Antonio, TX",Camping,Hobbies,3de9a328-bc68-4a21-b23a-da308da51d97,https://places-links.vercel.app/chat/3de9a328-bc68-4a21-b23a-da308da51d97/info
